Ticker,Name,Sector
ZOMATO.NS,Zomato Ltd,Consumer Tech
DMART.NS,Avenue Supermarts,Retail
TATAPOWER.NS,Tata Power,Energy
SIEMENS.NS,Siemens India,Industrials
PERSISTENT.NS,Persistent Systems,IT
TATAELXSI.NS,Tata Elxsi,IT
DIXON.NS,Dixon Technologies,Electronics
POLYCAB.NS,Polycab India,Electricals
MPHASIS.NS,Mphasis Ltd,IT
COFORGE.NS,Coforge Ltd,IT
LTIM.NS,LTIMindtree,IT
PIDILITIND.NS,Pidilite Industries,Chemicals
HAVELLS.NS,Havells India,Electricals
BERGEPAINT.NS,Berger Paints,Consumer
COLPAL.NS,Colgate-Palmolive India,FMCG
MARICO.NS,Marico Ltd,FMCG
GODREJCP.NS,Godrej Consumer Products,FMCG
GODREJPROP.NS,Godrej Properties,Real Estate
FSN.NS,Nykaa (FSN E-Commerce),Consumer Tech
IRCTC.NS,IRCTC,Tourism
TORNTPHARM.NS,Torrent Pharma,Pharma
ALKEM.NS,Alkem Laboratories,Pharma
LUPIN.NS,Lupin Ltd,Pharma
AUBANK.NS,AU Small Finance Bank,Financials
BANDHANBNK.NS,Bandhan Bank,Financials
FEDERALBNK.NS,Federal Bank,Financials
IDFCFIRSTB.NS,IDFC First Bank,Financials
PNB.NS,Punjab National Bank,Financials
BANKBARODA.NS,Bank of Baroda,Financials
CANBK.NS,Canara Bank,Financials
CHOLAFIN.NS,Cholamandalam Investment,Financials
LICHSGFIN.NS,LIC Housing Finance,Financials
MUTHOOTFIN.NS,Muthoot Finance,Financials
RECLTD.NS,REC Ltd,Financials
PFC.NS,Power Finance Corp,Financials
IRFC.NS,Indian Railway Finance Corp,Financials
SBICARD.NS,SBI Cards,Financials
ICICIPRULI.NS,ICICI Prudential Life,Financials
MFSL.NS,Max Financial Services,Financials
ADANIGREEN.NS,Adani Green Energy,Energy
TATACOMM.NS,Tata Communications,Telecom
INDUSTOWER.NS,Indus Towers,Telecom
ABB.NS,ABB India,Industrials
VOLTAS.NS,Voltas Ltd,Consumer
TRENT.NS,Trent Ltd,Retail
LODHA.NS,Macrotech Developers,Real Estate
OFSS.NS,Oracle Financial Services,IT
SRF.NS,SRF Ltd,Chemicals
VBL.NS,Varun Beverages,FMCG
CUMMINSIND.NS,Cummins India,Industrials
