Ticker,Name,Sector
ADANIENT.NS,Adani Enterprises,Diversified
ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
ASIANPAINT.NS,Asian Paints,Consumer
AXISBANK.NS,Axis Bank,Financials
BAJAJ-AUTO.NS,Bajaj Auto,Automobiles
BAJAJFINSV.NS,Bajaj Finserv,Financials
BAJFINANCE.NS,Bajaj Finance,Financials
BEL.NS,Bharat Electronics,Defence
BHARTIARTL.NS,Bharti Airtel,Telecom
BPCL.NS,BPCL,Energy
BRITANNIA.NS,Britannia Industries,FMCG
CIPLA.NS,Cipla,Pharma
COALINDIA.NS,Coal India,Energy
DIVISLAB.NS,Divi's Laboratories,Pharma
DRREDDY.NS,Dr Reddy's Labs,Pharma
EICHERMOT.NS,Eicher Motors,Automobiles
GRASIM.NS,Grasim Industries,Diversified
HCLTECH.NS,HCL Technologies,IT
HDFCBANK.NS,HDFC Bank,Financials
HDFCLIFE.NS,HDFC Life Insurance,Financials
HEROMOTOCO.NS,Hero MotoCorp,Automobiles
HINDALCO.NS,Hindalco Industries,Metals
HINDUNILVR.NS,Hindustan Unilever,FMCG
ICICIBANK.NS,ICICI Bank,Financials
INDUSINDBK.NS,IndusInd Bank,Financials
INFY.NS,Infosys,IT
ITC.NS,ITC Ltd,FMCG
JSWSTEEL.NS,JSW Steel,Metals
KOTAKBANK.NS,Kotak Mahindra Bank,Financials
LT.NS,Larsen & Toubro,Infrastructure
M&M.NS,Mahindra & Mahindra,Automobiles
MARUTI.NS,Maruti Suzuki,Automobiles
NESTLEIND.NS,Nestle India,FMCG
NTPC.NS,NTPC Ltd,Energy
ONGC.NS,ONGC,Energy
POWERGRID.NS,Power Grid Corp,Energy
RELIANCE.NS,Reliance Industries,Diversified
SBILIFE.NS,SBI Life Insurance,Financials
SBIN.NS,State Bank of India,Financials
SHRIRAMFIN.NS,Shriram Finance,Financials
SUNPHARMA.NS,Sun Pharmaceutical,Pharma
TATACONSUM.NS,Tata Consumer Products,FMCG
TATAMOTORS.NS,Tata Motors,Automobiles
TATASTEEL.NS,Tata Steel,Metals
TCS.NS,Tata Consultancy Services,IT
TECHM.NS,Tech Mahindra,IT
TITAN.NS,Titan Company,Consumer
ULTRACEMCO.NS,UltraTech Cement,Materials
WIPRO.NS,Wipro Ltd,IT
